id,claim,rating,image_url,permalink,publish_date,keyword,important_tweet_id
21,A photograph shows a Border Patrol agent following President Donald Trump's order to forcibly separate a child from his family.,miscaptioned,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/elian.png?w=719 719w'],https://www.snopes.com/fact-check/is-photograph-border-agents-separating-children/,2018-06-21T11:16:26+00:00,Border Patrol Donald Trump separate child,
22,A photograph shows children holding guns on the US-Mexico border.,FALSE,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/drudge-report.jpg?w=1614 1614w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/ap-immigrants.jpg?w=1605 1605w']",https://www.snopes.com/fact-check/gun-toting-children-photographed-united-states-border/,2018-06-18T11:35:00+00:00,children gun Mexico border,
23,A photograph shows Lake Kawaguchi near Mount Fuji in Japan.,FALSE,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/lake-kawagauchi.jpg?w=554 554w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/mount-fuji-collage.jpg?w=537 537w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/lake.jpg?w=600 600w']",https://www.snopes.com/fact-check/is-this-lake-kawaguchi/,2018-06-12T17:17:17+00:00,Lake Kawaguchi_ount Fuji Japan,
27,A disturbing photograph depicts a small boy who was detained by ICE in 2018 being held in a cage.,miscaptioned,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/35050666_2064282013614545_1849759388374401024_n.jpg?w=720 720w'],https://www.snopes.com/fact-check/toddler-cage-photo/,2018-06-12T08:37:04+00:00,kids cage immigrant,1.0064E+18
28,A still from a 1920s Charlie Chaplin silent film resembles an online meme popularized nearly a century later.,mostly-true,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/charlie-chaplin-collage.jpg?w=3079 3079w'],https://www.snopes.com/fact-check/distracted-boyfriend-meme-come-real-movie/,2018-06-11T17:10:44+00:00,Distracted Boyfriend Chaplin,
29,A photograph of children in orange jumpsuits depicts detained immigrant children.,FALSE,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/immigrant-children-orange-jumpsuits.jpg?w=640 640w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/immigrant-kids-jumpsuits.jpg?w=640 640w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/orange-jumpsuits-immigrant-kids-1.jpg?w=640 640w']",https://www.snopes.com/fact-check/are-children-orange-jumpsuits/,2018-06-11T09:54:27+00:00,immigrant children prison,
32,Paramedics found the upper half of a woman's body clutching her phone in the aftermath of a car accident caused by texting while driving.,miscaptioned,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/derrell-hudson.jpg?w=496 496w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/tex-and-driving.jpg?w=497 497w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/capton-contest.jpg?w=499 499w']",https://www.snopes.com/fact-check/was-texting-driver-found-clutching-phone/,2018-06-04T14:28:17+00:00,car accident phone in hand,
33,"An official sign for Starbucks racial bias training explained that stores were closed to ""educate white people about their racism.""",FALSE,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/not-starbucks-sign.jpg?w=598 598w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/starbucks-sign.jpg?w=806 806w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/starbucks-response-1.jpg?w=600 600w']",https://www.snopes.com/fact-check/sign-starbucks-racial-bias-training-single-white-people/,2018-06-01T11:06:39+00:00,starbuck racial educate white,
35,A photograph shows Subtropical Storm Alberto approaching Pensacola Beach in Florida.,FALSE,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/fake-photo.jpg?w=573 573w'],https://www.snopes.com/fact-check/is-this-alberto-approaching-pensacola-beach/,2018-05-29T16:00:49+00:00,alberto pensacola beach,
36,"An image shows an advertisement for a ""legally edible"" meat product called ""boned rolled pig.""",FALSE,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/boned-rolled-pig-1.jpg?w=612 612w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/slagbestos-collage.jpg?w=1200 1200w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/mcneills.jpg?w=1202 1202w']",https://www.snopes.com/fact-check/did-stores-sell-boned-rolled-pig/,2018-05-29T11:34:52+00:00,advertisement boned rolled pig,
37,A photograph shows a 'kids' concentration camp' in the U.S.,mixture,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/kidsprison.jpg?w=900 900w'],https://www.snopes.com/fact-check/childrens-concentration-camp/,2018-05-27T17:57:22+00:00,kids concentration camp,
40,Palestinians were caught faking the deaths of several martyrs when one of the 'corpses' was filmed moving.,FALSE,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/fake-martyrs-1.jpg?w=721 721w'],https://www.snopes.com/fact-check/martyrs-fake-death-video/,2018-05-21T13:52:51+00:00,Palestinian martyrsnfake death ,
41,A photograph shows millions of Germans abandoning their cars in protest over high gasoline prices.,miscaptioned,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/trafficjamfb.jpg?w=600 600w'],https://www.snopes.com/fact-check/german-fuel-protest-image/,2018-05-20T14:01:21+00:00,Germans abandon cars fuel price,
42,"Images show the aftermath of a plane crash in Havana, Cuba in May 2018.",FALSE,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/plane-crash-1.jpg?w=1000 1000w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/plane-crash.jpg?w=1024 1024w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/us-bangla-airlines-crash.jpg?w=620 620w']",https://www.snopes.com/fact-check/is-this-plane-crash-havana-cuba/,2018-05-18T14:18:40+00:00,plane crash in Havana,
44,A photograph shows Nikola Tesla working as a swim instructor on a New York beach near the end of the 19th century.,miscaptioned,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/nikola-tesla.jpg?w=1879 1879w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/tesla-comparison.jpg?w=1002 1002w']",https://www.snopes.com/fact-check/nikola-tesla-swimming-instructor/,2018-05-16T14:57:56+00:00,Nikola Tesla swim instructor,
46,"President Trump tweeted that there should be a Mother's Day for fathers, but ""the liberal media won't let that happen.""",FALSE,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/trump-fathers-day.jpg?w=517 517w'],https://www.snopes.com/fact-check/president-donald-trump-tweet-mothers-day-fathers/,2018-05-16T09:04:10+00:00,trump tweet mothers day fathers,
47,"Fisher-Price manufactured a ""Tiny Toker"" toyset featuring a toy bong and other marijuana paraphernalia.",FALSE,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/tiny-toker-1.jpg?w=920 920w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/toker-toy.jpg?w=600 600w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/doobys-dog-toys.jpg?w=1558 1558w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/fake-products.jpg?w=2000 2000w']",https://www.snopes.com/fact-check/did-fisher-price-release-tiny-toker/,2018-05-15T12:13:23+00:00,Fisher Price Tiny Toker,
48,"A photograph shows the first ""blue bow trout"" caught in Pennsylvania.",FALSE,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/blue-bow-trout.jpg?w=823 823w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/fish-collage.jpg?w=1000 1000w']",https://www.snopes.com/fact-check/blue-bow-trout-real/,2018-05-15T10:14:02+00:00,blue bow trout,
51,"An image shows an Asian giant hornet, a large insect with a potentially deadly sting.",miscaptioned,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/toy-giant-hornet.jpg?w=800 800w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/wasp-toy.jpg?w=720 720w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/beetle-collage.jpg?w=1500 1500w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/asian-hornets.jpg?w=1000 1000w']",https://www.snopes.com/fact-check/is-this-asian-giant-hornet/,2018-05-11T12:48:12+00:00,Asian giant hornet,
52,A photograph captures a couple kissing amidst the 1971 May Day protests.,FALSE,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/rayban.jpg?w=600 600w'],https://www.snopes.com/fact-check/may-day-protests-kiss/,2018-05-11T08:06:10+00:00,kiss may day protests,9.89714E+17
53,A vintage Heineken advertisement showed a toddler drinking a beer and boasted about having the youngest customers in the business.,FALSE,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/heineken-ad.jpg?w=600 600w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/heineken-vintage-ad.jpg?w=800 800w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/vintage-7ups.jpg?w=1200 1200w']",https://www.snopes.com/fact-check/heineken-beer-ad-babies/,2018-05-10T13:33:54+00:00,heineken beer babies,
54,A photograph shows President Barack Obama bowing to Iran's supreme leader Ali Khamenei.,FALSE,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/not-obama-bowing.jpg?w=478 478w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/caption-contest.jpg?w=525 525w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/all-the-right-snark.jpg?w=640 640w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/obama-bowing-colalge.jpg?w=1000 1000w']",https://www.snopes.com/fact-check/president-obama-bow-ayatollah-khamenei/,2018-05-09T17:02:01+00:00,Obama Bow to Ayatollah Khamenei,
55,A photograph shows a twelve-pound rat that was caught in London.,miscaptioned,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/31437451_1694623843961056_9045261226293311056_n.jpg?w=600 600w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/hackney.jpg?w=730 730w']",https://www.snopes.com/fact-check/was-twelve-lb-rat-london/,2018-05-09T10:50:26+00:00,twelve lb rat london,
56,"A ""Welcome to Kansas City"" sign features an amusing, but unfortunate typo welcoming 25 million visitors ""anally,"" not ""annually.""",FALSE,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/kansas-city.jpg?w=899 899w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/kc-sign-real.jpg?w=595 595w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/sign-2.jpg?w=1536 1536w']",https://www.snopes.com/fact-check/does-welcome-sign-kansas-city-typo/,2018-05-08T08:50:44+00:00,Welcome to Kansas,9.93597E+17
57,A photograph shows a purple horned winged lizard.,FALSE,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/purple-horned-winged-lizard.jpg?w=700 700w'],https://www.snopes.com/fact-check/purple-horned-winged-lizard/,2018-05-07T12:19:04+00:00,Purple Horned Winged Lizard,
58,Images show a number of mutant sharks with two heads.,mostly-false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/two-headed-shark.jpg?w=745 745w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/two-headed-shark-2.jpg?w=956 956w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/great-white-shark-collage.jpg?w=2341 2341w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/six-headed-shark-attack.jpg?w=704 704w']",https://www.snopes.com/fact-check/two-headed-sharks-terrorizing-ocean/,2018-05-04T16:30:58+00:00,Two Headed Shark,
60,A set of images show a congenital anomaly that resulted in an a hand with eight fingers.,mixture,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/A-set-of-images-show-a-congenital-anomaly-.jpg?w=600 600w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/dr-rapesh.jpg?w=1024 1024w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/mirror-hand-3.jpg?w=2000 2000w']",https://www.snopes.com/fact-check/real-hand-eight-fingers/,2018-05-03T14:59:48+00:00,eight fingers hand,
61,An exorcism in 1988 saved a house from destruction during Hurricane Ike in 2008.,miscaptioned,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/Home_designed_to_resist_flood_waters.jpg?w=2724 2724w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/31502079_584388228595654_3254621643045076992_n.jpg?w=640 640w']",https://www.snopes.com/fact-check/last-house-standing-hurricane-exorcism/,2018-05-03T14:38:17+00:00,exorcism house hurricane,
63,"A sign at the United States border and sponsored by the Democratic party informs travelers from Mexico that there's ""lots of free stuff ahead.""",FALSE,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/ObamaUSbordersign.jpg?w=400 400w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/shariah-free-zone.jpg?w=1200 1200w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/mexico-signs.jpg?w=1200 1200w']",https://www.snopes.com/fact-check/is-u-s-border-sign-free-stuff-real/,2018-05-02T12:36:10+00:00,border Democratic free stuff,
64,A photograph shows a hearse being towed away in the middle of a funeral procession.,FALSE,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/hearse.jpg?w=500 500w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/hearse-mic.jpg?w=500 500w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/bbc-rev.jpg?w=640 640w']",https://www.snopes.com/fact-check/was-hearse-towed-during-funeral/,2018-05-01T09:23:10+00:00,hearse Towed Away Funeral,
65,A photograph shows a remarkable sunset over Moscow.,FALSE,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/apocalyptic-sunset-over-moscow.jpg?w=724 724w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/sunset-from-above-the-clouds.jpg?w=1024 1024w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/cloud-Collage.jpg?w=1202 1202w']",https://www.snopes.com/fact-check/is-sunset-moscow-real/,2018-04-30T11:46:25+00:00,Apocalyptic Sunset Over Moscow,
66,A photograph captures a man washing aborted fetuses in Brazil.,miscaptioned,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/fetus_burial.jpg?w=600 600w'],https://www.snopes.com/fact-check/washing-aborted-fetuses/,2018-04-30T08:41:24+00:00,wash aborted fetuses,
67,A newspaper article from 2015 reported that comedian Michelle Wolf had been arrested for bestiality,FALSE,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/michelle-wolf-newspaper.jpg?w=1242 1242w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/newspaper-generator.jpg?w=505 505w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/fake-news-michelle-wolf.jpg?w=370 370w']",https://www.snopes.com/fact-check/michelle-wolf-newspaper-arrest/,2018-04-30T08:20:53+00:00,Michelle Wolf arrested bestiality,
68,A Russian man locked his head in a cage in an attempt to stop smoking.,mostly-true,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/russian-smoker.jpg?w=1242 1242w'],https://www.snopes.com/fact-check/did-man-lock-head-cage/,2018-04-26T10:43:02+00:00,man lock head smoke,
69,"President Donald Trump was labeled as either the best or the worst president ever on the cover of ""Time"" magazine.",FALSE,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/best-and-worst-presidents.jpg?w=1433 1433w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/trump-cover-collage.jpg?w=1200 1200w']",https://www.snopes.com/fact-check/was-trump-best-worst-president-time/,2018-04-25T11:10:25+00:00,trump best worst time cover,
72,A photograph shows a mysterious 7-foot creature that has been terrorizing a village in Argentina.,FALSE,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/dogman.jpg?w=584 584w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/harry-potter-wolf.jpg?w=1441 1441w']",https://www.snopes.com/fact-check/mysterious-creature-terrorizing-argentina/,2018-04-20T18:13:02+00:00,mysterious creature argentina,
74,"A series of images ""prove"" that the White Helmets ""staged"" a chemical attack in Syria.",FALSE,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/mcgonigle.jpg?w=560 560w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/syria-collage.jpg?w=1500 1500w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/revolution-man.jpg?w=1366 1366w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/white-helmets-.jpg?w=610 610w']",https://www.snopes.com/fact-check/is-this-proof-white-helmets-staged-chemical-attack/,2018-04-19T11:47:09+00:00,white helmets stage chemical attack,
75,"Starbucks offered coupons exclusively to customers of ""African-American heritage.""",FALSE,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/qr-code-fake.jpg?w=1000 1000w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/4chan.jpg?w=1021 1021w']",https://www.snopes.com/fact-check/starbucks-coupon-for-black-customers-only/,2018-04-18T10:47:00+00:00,starbucks coupon black,
77,A photograph shows a statue guarding the Tomb of the Unknown Soldier that was knocked over by vandals.,FALSE,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/knocked-over-statue.jpg?w=717 717w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/david-applewhite-facebook.jpg?w=464 464w']",https://www.snopes.com/fact-check/was-statue-unknown-soldier-vandals/,2018-04-17T11:43:34+00:00,statue unknown soldier vandals,
79,A photograph shows serial killer Jeffrey Dahmer standing next to an ice bong.,miscaptioned,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/not-jeffery-dahmer.jpg?w=500 500w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/dahmer-comparison.jpg?w=602 602w']",https://www.snopes.com/fact-check/jeffrey-dahmer-next-ice-bong/,2018-04-13T14:58:06+00:00,jeffrey dahmer ice bong,
80,A photograph shows a dead sperm whale that washed ashore after swallowing 64 pounds of plastic debris and other trash.,miscaptioned,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/forbes-whale.jpg?w=960 960w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/whale-replica-collage.jpg?w=1500 1500w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/sperm-whale-collage.jpg?w=802 802w']",https://www.snopes.com/fact-check/sperm-whale-die-swallowing-64-pounds-plastic-debris/,2018-04-12T09:41:59+00:00,sperm whale die plastic debris,
81,An image shows a group of liberals in the U.S. protesting Donald Trump.,FALSE,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/30226441_1745278768844782_6072494758747824213_n.jpg?w=794 794w'],https://www.snopes.com/fact-check/liberals-protesting-trump-photo/,2018-04-10T13:52:38+00:00,protest trump mentally stable,
82,A photograph shows two daredevils playing tennis on the wings of an airplane.,mostly-true,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/history-lovers-club.jpg?w=726 726w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/unger-and-roy.jpg?w=707 707w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/plane-stunt.jpg?w=2522 2522w']",https://www.snopes.com/fact-check/daredevils-playing-tennis-airplane/,2018-04-09T12:17:57+00:00,daredevils tennis airplane,
84,"Arnold Schwarzenegger slept in a sleeping bag outside a hotel he had once opened, because staff refused to give him a free room.",miscaptioned,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/26230154_1900598443303351_4966851516246143874_n.jpg?w=600 600w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/Screen-Shot-2018-04-06-at-14.39.44.png?w=915 915w']",https://www.snopes.com/fact-check/schwarzenegger-hotel-statue/,2018-04-06T12:33:25+00:00,Schwarzenegger_leep hotel,
85,A photograph shows a young boy with a rare disease after his classmates refused to wish him a happy birthday.,miscaptioned,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/like-farm-scam.jpg?w=504 504w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/luca-costa-birthday.jpg?w=960 960w']",https://www.snopes.com/fact-check/did-sick-childs-classmates-refuse-birthday/,2018-04-06T09:45:27+00:00,happy birthday because of his illness,
88,"In April 2018, Daniel Radcliffe announced that he would reprise his role as Harry Potter in a new movie called ""Harry Potter and the Cursed Child.""",FALSE,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/harry-potter-cursed-child-movie.jpg?w=442 442w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/april-fools.jpg?w=1002 1002w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/asa-butterfield-enders-game-1.jpg?w=1000 1000w']",https://www.snopes.com/fact-check/harry-potter-cursed-child-movie-poster/,2018-04-03T13:09:28+00:00,Harry Potter Cursed Child Daniel Radcliffe,
